PEILDATUM_LEERLINGEN;PRIKDATUM_SCORES;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEERJAAR_8;ONTHEFFING_REDEN_ND;CET_AANTAL;CET_GEM;IEP_AANTAL;IEP_GEM;ROUTE8_AANTAL;ROUTE8_GEM;DREMPEL_AANTAL;DREMPEL_GEM;aantal;@2toets;N_DLN_2015;N_AFN_2015;TOETS_2015;SCORE_2015;TOETS_2_2015;SCORE_2_2015;Weeg_t_1;Weeg_t_2;TOETS_2014;N_AFN_2014;N_DLN_2014;N_DLN_2014_rw;SCORE_2014;SCORE_2014_rw;TOETS_2013;N_AFN_2013;N_DLN_2013;N_DLN_2013_rw;SCORE_2013;SCORE_2013_rw;middenopleiding;hogeopleiding;inkomen;leefbaar;gew03;gew12;noat;uitslagtoets2014;uitslagtoets2014taal;uitslagtoets2014reken;uitslagtoets2014tot;uitslagtoets2013;uitslagtoets2013taal;uitslagtoets2013reken;uitslagtoets2013tot;uitslagtoets2015;auitslagtoets2015;buitslagtoets2015;tellerdeelname;noemerdeelname;deelnaamper;meantoets;waretoets;PRE_1;RES_1;cijfer;check;warecijfer;quasicito;verwachtecito
20141001;20150918;15CO;00;Roncallischool;6882GZ;VELP GLD;275;Rheden;Gelderland;Bo;Rooms-Katholiek;40812;27;1;26;532.7;0;.;0;.;0;.;1;Nee;26;26;Cito;532,7;;#LEEG!;#LEEG!;#LEEG!;cito;35;35;0;532,5;#LEEG!;cito;30;30;0;535,2;#LEEG!;35,290456431535300;16,1493775933610000;28407,468879668000;-2,4535587966805000;12,2950819672131000;2,0491803278688500;3,2921810699588500;-0,223;#LEEG!;#LEEG!;#LEEG!;0,374;#LEEG!;#LEEG!;#LEEG!;-0,325;#LEEG!;#LEEG!;30,333;30,333;100,000;-0,058;-0,058;-0,03509;-0,02303; 6,98 ; 3,00 ;6,976970616;533,7834336;533,8767717
20141001;20150918;07AE;00;BS Groen van Prinsterer;3241GH;MIDDELHARNIS;1924;Goeree-Overflakkee;Zuid-Holland;Bo;Protestants-Christelijk;42632;27;0;27;536;0;.;0;.;0;.;1;Nee;27;27;Cito;536,0;;#LEEG!;#LEEG!;#LEEG!;cito;17;17;0;531,6;#LEEG!;cito;29;29;0;539,0;#LEEG!;36,142076502732200;12,0710382513661000;34070,491803278700;27,5063203278689000;1,6393442622950800;0,0000000000000000;0,0000000000000000;-0,434;#LEEG!;#LEEG!;#LEEG!;1,275;#LEEG!;#LEEG!;#LEEG!;0,489;#LEEG!;#LEEG!;24,333;24,333;100,000;0,443;0,443;0,46660;-0,02321; 6,98 ; 3,00 ;6,976789997;535,8160402;535,9101104
20141001;20150918;15FD;00;Windkracht 10;8304DR;EMMELOORD;171;Noordoostpolder;Flevoland;Bo;Openbaar;40662;22;2;20;533.4;0;.;0;.;0;.;1;Nee;20;20;Cito;533,4;;#LEEG!;#LEEG!;#LEEG!;cito;15;15;0;528,7;#LEEG!;cito;18;17;0;533,7;#LEEG!;38,523178807947000;11,9602649006623000;30280,794701986800;10,2291352980132000;15,2317880794702000;13,2450331125828000;6,6666666666666700;-1,114;#LEEG!;#LEEG!;#LEEG!;0,018;#LEEG!;#LEEG!;#LEEG!;-0,153;#LEEG!;#LEEG!;17,333;17,667;98,113;-0,416;-0,469;-0,44568;-0,02329; 6,98 ; 3,00 ;6,976708114;532,3323935;532,2126748
20141001;20150918;09HG;00;Basisschool 't Echtenest;7932PM;ECHTEN DR;1690;De Wolden;Drenthe;Bo;Openbaar;41895;5;0;5;536;0;.;0;.;0;.;1;Nee;5;5;Cito;536,0;;#LEEG!;#LEEG!;#LEEG!;cito;1;1;0;#LEEG!;#LEEG!;cito;4;4;0;#LEEG!;#LEEG!;40,000000000000000;17,0000000000000000;34905,882352941200;24,3790441176471000;0,0000000000000000;0,0000000000000000;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,489;#LEEG!;#LEEG!;3,333;3,333;100,000;0,489;0,489;0,51235;-0,02357; 6,98 ; 3,00 ;6,976427504;536;536,0955393
20141001;20150918;27WZ;00;de Kloostertuin;9408JA;ASSEN;106;Assen;Drenthe;Bo;Protestants-Christelijk;32073;58;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;lvs;39;39;39;64,5;111,3;lvs;28;28;28;60,0;110,1;33,061881188118800;21,2920792079208000;37612,106537530300;23,4388828468899000;1,4319809069212400;0,0000000000000000;9,3525179856115100;0,904;1,254;0,244;0,749;0,422;0,404;0,075;0,239;#LEEG!;#LEEG!;#LEEG!;22,333;22,333;100,000;0,663;0,663;0,68651;-0,02391; 6,98 ; 2,00 ;6,976087328;536,7045242;536,8014422
20141001;20150918;03EV;00;OBS De Klimop;5541GH;REUSEL;1667;Reusel-De Mierden;Noord-Brabant;Bo;Openbaar;41662;33;0;33;537.2;0;.;0;.;0;.;1;Nee;33;33;Cito;537,2;;#LEEG!;#LEEG!;#LEEG!;cito;34;34;0;537,6;#LEEG!;cito;27;28;0;530,2;#LEEG!;37,986784140969200;10,0881057268722000;36320,869565217400;21,6853379130435000;0,4273504273504270;2,1367521367521400;2,9535864978903000;0,973;#LEEG!;#LEEG!;#LEEG!;-0,812;#LEEG!;#LEEG!;#LEEG!;0,785;#LEEG!;#LEEG!;31,667;31,333;100,000;0,315;0,315;0,33923;-0,02398; 6,98 ; 3,00 ;6,976021835;535,2967023;535,3938858
20141001;20150918;09EI;00;OBS De Krullevaar;5161AE;SPRANG-CAPELLE;867;Waalwijk;Noord-Brabant;Bo;Openbaar;41435;13;1;12;532.6;0;.;0;.;0;.;1;Nee;12;12;Cito;532,6;;#LEEG!;#LEEG!;#LEEG!;cito;17;17;0;537,2;#LEEG!;cito;12;12;0;534,1;#LEEG!;34,767441860465100;11,1162790697674000;35509,302325581400;19,3455963953488000;3,4883720930232600;4,6511627906976700;9,0909090909090900;0,879;#LEEG!;#LEEG!;#LEEG!;0,113;#LEEG!;#LEEG!;#LEEG!;-0,350;#LEEG!;#LEEG!;13,667;13,667;100,000;0,214;0,214;0,23817;-0,02416; 6,98 ; 3,00 ;6,975841592;534,8864023;534,9843163
20141001;20150918;10PY;00;Basisschool de Beiaard;3571XV;UTRECHT;344;Utrecht;Utrecht;Bo;Rooms-Katholiek;77052;26;0;26;540.2;0;.;0;.;0;.;1;Nee;26;26;Cito;540,2;;#LEEG!;#LEEG!;#LEEG!;cito;33;33;0;540,1;#LEEG!;cito;23;23;0;539,2;#LEEG!;23,545045045045000;46,7972972972973000;40420,535714285700;28,8326094642857000;1,7857142857142900;0,4464285714285710;1,8264840182648400;1,559;#LEEG!;#LEEG!;#LEEG!;1,323;#LEEG!;#LEEG!;#LEEG!;1,525;#LEEG!;#LEEG!;27,333;27,333;100,000;1,469;1,469;1,49334;-0,02440; 6,98 ; 3,00 ;6,975601556;539,9726265;540,0715134
20141001;20150918;17FA;00;PC BS Willem Van Oranje;7334AL;APELDOORN;200;Apeldoorn;Gelderland;Bo;Protestants-Christelijk;82526;27;0;27;538.6;0;.;0;.;0;.;1;Nee;27;27;Cito;538,6;;#LEEG!;#LEEG!;#LEEG!;cito;28;28;0;532,5;#LEEG!;cito;18;18;0;531,6;#LEEG!;37,806763285024200;15,2125603864734000;32105,314009661800;14,3312927053140000;5,7971014492753600;3,3816425120772900;6,3725490196078400;-0,223;#LEEG!;#LEEG!;#LEEG!;-0,480;#LEEG!;#LEEG!;#LEEG!;1,130;#LEEG!;#LEEG!;24,333;24,333;100,000;0,142;0,142;0,16700;-0,02451; 6,98 ; 2,00 ;6,975485046;534,596495;534,6958541
20141001;20150918;11TQ;00;Obs A Bosschool;8124AJ;WESEPE;1773;Olst-Wijhe;Overijssel;Bo;Openbaar;41491;18;0;17;536.6;0;.;0;.;0;.;1;Nee;17;17;Cito;536,6;;#LEEG!;#LEEG!;#LEEG!;cito;14;14;0;533,7;#LEEG!;cito;17;17;0;534,5;#LEEG!;36,412844036697300;14,9816513761468000;38502,752293578000;23,2132415596330000;7,3394495412844000;1,8348623853211000;0,0000000000000000;0,058;#LEEG!;#LEEG!;#LEEG!;0,208;#LEEG!;#LEEG!;#LEEG!;0,637;#LEEG!;#LEEG!;16,000;16,000;100,000;0,301;0,301;0,32560;-0,02453; 6,98 ; 3,00 ;6,975468799;535,2392387;535,3386637
